day,new_installs,dau
1,15182,15182
2,13147,21497
3,12873,26231
4,11967,29494
5,9663,30447
6,9253,31855
7,9340,33699
8,8581,34806
9,8274,35926
10,7466,36451
11,8001,37929
12,7669,38962
13,7076,39519
14,7406,40705
15,6908,41337
16,6104,41376
17,6602,42342
18,5841,42466
19,6681,43763
20,6153,44268
21,6035,44822
22,5748,45195
23,6670,46657
24,5960,47055
25,5809,47515
26,5839,48135
27,6279,49225
28,6197,50051
29,6226,50887
30,6244,51718
31,7112,53396
32,5852,53413
33,5816,53826
34,5684,54244
35,6419,55505
36,6697,56755
37,6098,57195
38,5759,57490
39,5791,58019
40,6554,59360
41,6626,60453
42,6553,61341
43,5976,61632
44,6452,62640
45,6422,63473
46,6501,64355
47,6856,65541
48,6560,66251
49,6817,67286
50,6540,67938
51,6680,68816
52,6880,69849
53,5866,69761
54,6464,70688
55,6418,71427
56,6363,72096
57,6575,72997
58,7489,74721
59,6339,74855
60,7286,76305
61,5990,76133
62,6694,77142
63,6972,78255
64,7214,79436
65,7306,80544
66,7377,81619
67,6836,82074
68,6809,82707
69,7499,84097
70,7005,84703
71,6492,84925
72,6594,85511
73,6730,86269
74,7469,87722
75,7321,88688
76,7625,89913
77,7096,90446
78,7419,91476
79,7683,92667
80,7245,93265
81,7658,94417
82,7129,94887
83,7309,95724
84,7329,96552
85,6952,96985
86,7824,98452
87,7375,99129
88,7646,100171
89,7910,101375
90,7923,102435
